sample,richness,shannon_index,evenness,local,type,species
FOODSBBG2,23,2.201620203,0.702160505,BG,FOOD,SB
FOODSBBP3,25,2.08114902,0.646545295,BP,FOOD,SB
FOODSBBP4,33,2.072663844,0.59278117,BP,FOOD,SB
FOODSBSC1,22,1.939095091,0.627327227,SC,FOOD,SB
FOODSBSC2,25,1.999962741,0.62132336,SC,FOOD,SB
FOODSDBG1,16,2.063687219,0.744317829,BG,FOOD,SD
FOODSDBP1,27,2.041148567,0.619311164,BP,FOOD,SD
FOODSDBP2,45,2.448634124,0.6432496,BP,FOOD,SD
FOODSDSC1,26,1.916196854,0.588133848,SC,FOOD,SD
FOODSDSC2,34,2.005842943,0.568813917,SC,FOOD,SD
FORAGERSBBG1,34,2.66276635,0.755103266,BG,FORAGER,SB
FORAGERSBBG2,23,2.523385476,0.804780778,BG,FORAGER,SB
FORAGERSBBP3,40,2.433503141,0.659686274,BP,FORAGER,SB
FORAGERSBBP4,48,3.02191532,0.780614417,BP,FORAGER,SB
FORAGERSBSC1,40,2.353126532,0.637897378,SC,FORAGER,SB
FORAGERSBSC2,28,2.429665429,0.729146552,SC,FORAGER,SB
FORAGERSDBG1,62,2.929273671,0.709759702,BG,FORAGER,SD
FORAGERSDBG2,35,2.600399159,0.731404947,BG,FORAGER,SD
FORAGERSDBP1,30,2.721461771,0.800148143,BP,FORAGER,SD
FORAGERSDBP2,74,2.825411971,0.656451961,BP,FORAGER,SD
FORAGERSDSC2,35,2.514796017,0.707327658,SC,FORAGER,SD
GUARDSBBP3,72,2.355435536,0.55076442,BP,GUARD,SB
GUARDSBSC1,59,2.172579709,0.532816618,SC,GUARD,SB
GUARDSBSC2,28,2.02697667,0.608299,SC,GUARD,SB
GUARDSDBG1,81,2.732399736,0.621784356,BG,GUARD,SD
GUARDSDSC1,85,3.49365166,0.786388906,SC,GUARD,SD
GUARDSDSC2,94,3.311987631,0.728983654,SC,GUARD,SD
HONEYSBBG1,57,2.524220673,0.624335559,BG,HONEY,SB
HONEYSBBG2,36,1.390499115,0.388026166,BG,HONEY,SB
HONEYSBBP3,75,2.240461842,0.518927159,BP,HONEY,SB
HONEYSBBP4,115,2.440614201,0.5143623,BP,HONEY,SB
HONEYSBSC1,41,1.752153712,0.471824346,SC,HONEY,SB
HONEYSBSC2,65,1.101540453,0.263880752,SC,HONEY,SB
HONEYSDBG1,25,1.343615629,0.417417664,BG,HONEY,SD
HONEYSDBG2,93,2.964536319,0.65404771,BG,HONEY,SD
HONEYSDBP1,65,1.831111504,0.438653959,BP,HONEY,SD
HONEYSDSC1,160,2.825372689,0.556704616,SC,HONEY,SD
HONEYSDSC2,27,2.206418774,0.669456306,SC,HONEY,SD
LARVAE1SBBP4,29,2.009302443,0.596710994,BP,LARVAE,SB
LARVAE1SDBP2,17,1.955381596,0.690163909,BP,LARVAE,SD
LARVAE1SDBP4,18,1.946673519,0.673502816,BP,LARVAE,SD
LARVAE2SBBP4,27,1.962750141,0.595524057,BP,LARVAE,SB
LARVAESBBP2,27,1.919656947,0.582449018,BP,LARVAE,SB
LARVAESBSC2,12,1.953055956,0.785967536,SC,LARVAE,SB
LARVAESDSC1,16,2.102163758,0.758195307,SC,LARVAE,SD
NURSESBBG1,43,2.450157235,0.651429639,BG,NURSE,SB
NURSESBBG2,42,2.545301115,0.680986116,BG,NURSE,SB
NURSESBBP3,25,1.992442768,0.618987148,BP,NURSE,SB
NURSESBBP4,39,2.133383211,0.582324912,BP,NURSE,SB
NURSESBSC1,38,2.278098521,0.626266546,SC,NURSE,SB
NURSESBSC2,33,2.315507152,0.662234276,SC,NURSE,SB
NURSESDBG1,47,2.661279248,0.691214863,BG,NURSE,SD
NURSESDBG2,31,2.26739647,0.66028099,BG,NURSE,SD
NURSESDBP1,39,2.409757688,0.657763652,BP,NURSE,SD
NURSESDBP2,39,2.868651937,0.783022701,BP,NURSE,SD
NURSESDSC1,59,2.887515897,0.708151902,SC,NURSE,SD
NURSESDSC2,33,2.054425031,0.587564876,SC,NURSE,SD
POLLENSBBP2,15,2.151968025,0.794655883,BP,POLLEN,SB
POLLENSBBP3,52,2.407458157,0.609291233,BP,POLLEN,SB
POLLENSDBG1,29,2.209842535,0.656266228,BG,POLLEN,SD
POLLENSDBG2,26,2.112945675,0.648521506,BG,POLLEN,SD
POLLENSDBP1,33,2.039233804,0.58322019,BP,POLLEN,SD
POLLENSDBP2,20,1.927404919,0.643383568,BP,POLLEN,SD
POLLENSDSC1,32,1.93958976,0.559647306,SC,POLLEN,SD
POLLENSDSC2,25,0.913522007,0.283801568,SC,POLLEN,SD
