asv,sample,counts,presence,local,type,species,taxa
ASV_71,HONEYSBBP3,153,1,BP,HONEY,SB,Weissella
ASV_14,NURSESDSC1,240,1,SC,NURSE,SD,Raoultella
ASV_55,POLLENSDBG2,3,0,BG,POLLEN,SD,Bombilactobacillus
ASV_30,NURSESBBG2,0,0,BG,NURSE,SB,Klebsiella
ASV_17,NURSESBBP4,279,1,BP,NURSE,SB,Floricoccus
ASV_55,FORAGERSDSC2,167,1,SC,FORAGER,SD,Bombilactobacillus
ASV_44,LARVAE2SBBP4,2325,1,BP,LARVAE,SB,Erysipelatoclostridium
ASV_14,FORAGERSBBP3,0,0,BP,FORAGER,SB,Raoultella
ASV_99,NURSESBSC2,13045,0,SC,NURSE,SB,Lactobacillaceae
ASV_60,FORAGERSDSC2,0,0,SC,FORAGER,SD,Enterobacterales
ASV_14,LARVAE1SDBP2,0,0,BP,LARVAE,SD,Raoultella
ASV_17,POLLENSDBG2,0,0,BG,POLLEN,SD,Floricoccus
ASV_484,FORAGERSDBP2,320,0,BP,FORAGER,SD,Bifidobacterium
ASV_14,NURSESDBP2,4,1,BP,NURSE,SD,Raoultella
ASV_543,FOODSBBG2,0,0,BG,FOOD,SB,Taibaiella
ASV_85,LARVAE1SBBP4,2342,1,BP,LARVAE,SB,Tyzzerella
ASV_30,LARVAESDSC1,0,0,SC,LARVAE,SD,Klebsiella
ASV_439,LARVAE1SDBP4,0,0,BP,LARVAE,SD,Bifidobacteriaceae
ASV_85,FOODSDBP1,0,0,BP,FOOD,SD,Tyzzerella
ASV_62,POLLENSBBP3,253,0,BP,POLLEN,SB,Acinetobacter
ASV_30,POLLENSDBP1,0,0,BP,POLLEN,SD,Klebsiella
ASV_44,LARVAE1SBBP4,2378,1,BP,LARVAE,SB,Erysipelatoclostridium
ASV_85,HONEYSDSC1,10,0,SC,HONEY,SD,Tyzzerella
ASV_17,POLLENSDSC1,0,0,SC,POLLEN,SD,Floricoccus
ASV_76,HONEYSBBP3,22,1,BP,HONEY,SB,Sphingobacterium
ASV_484,NURSESBBG2,415,0,BG,NURSE,SB,Bifidobacterium
ASV_439,NURSESBBP3,22,1,BP,NURSE,SB,Bifidobacteriaceae
ASV_12,FORAGERSDBG2,0,0,BG,FORAGER,SD,Pectinatus
ASV_14,POLLENSDBG2,98,1,BG,POLLEN,SD,Raoultella
ASV_99,NURSESBBG2,18662,0,BG,NURSE,SB,Lactobacillaceae
ASV_85,NURSESBBP4,0,0,BP,NURSE,SB,Tyzzerella
ASV_484,LARVAESDSC1,0,0,SC,LARVAE,SD,Bifidobacterium
ASV_60,POLLENSDBP1,52,0,BP,POLLEN,SD,Enterobacterales
ASV_96,FOODSBBP4,6,0,BP,FOOD,SB,Micrococcaceae
ASV_484,LARVAESBBP2,0,0,BP,LARVAE,SB,Bifidobacterium
ASV_484,FORAGERSBBG1,420,0,BG,FORAGER,SB,Bifidobacterium
ASV_96,FORAGERSDSC2,0,0,SC,FORAGER,SD,Micrococcaceae
ASV_60,FORAGERSDBG2,0,0,BG,FORAGER,SD,Enterobacterales
ASV_86,POLLENSDSC1,5786,0,SC,POLLEN,SD,Acetobacteraceae
ASV_62,POLLENSDBP2,0,0,BP,POLLEN,SD,Acinetobacter
ASV_71,NURSESDSC1,33,1,SC,NURSE,SD,Weissella
ASV_83,NURSESDBG2,0,0,BG,NURSE,SD,Corynebacterium
ASV_55,FOODSBBP4,0,0,BP,FOOD,SB,Bombilactobacillus
