asv,sample,counts,presence,local,type,species,taxa
ASV_34,FOODSBSC1,0,0,SC,FOOD,SB,f__Acrospermaceae
ASV_712,HONEYSDBP1,250,0,BP,HONEY,SD,g__Wickerhamiella
ASV_78,FOODSBBP3,27,0,BP,FOOD,SB,g__Diutina
ASV_686,NURSESBBG1,5,0,BG,NURSE,SB,g__Debaryomyces
ASV_92,LARVAESBBP2,7,0,BP,LARVAE,SB,p__Ascomycota
ASV_855,POLLENSBBP3,1413,0,BP,POLLEN,SB,g__Starmerella
ASV_78,FORAGERSBSC1,0,0,SC,FORAGER,SB,g__Diutina
ASV_40,LARVAESBBG2,0,0,BG,LARVAE,SB,g__Plenodomus
ASV_892,FOODSDBP1,450,0,BP,FOOD,SD,k__Fungi
ASV_686,LARVAESBBP1,0,0,BP,LARVAE,SB,g__Debaryomyces
ASV_92,LARVAE1SBBP4,58,0,BP,LARVAE,SB,p__Ascomycota
ASV_92,NURSESBSC2,373,0,SC,NURSE,SB,p__Ascomycota
ASV_98,POLLENSDSC1,1915,0,SC,POLLEN,SD,g__Metschnikowia
ASV_34,POLLENSDSC1,0,0,SC,POLLEN,SD,f__Acrospermaceae
ASV_64,FOODSDSC1,0,0,SC,FOOD,SD,g__Cutaneotrichosporon
ASV_9,NURSESBSC2,98,1,SC,NURSE,SB,g__Cladosporium
ASV_95,POLLENSBBP3,0,0,BP,POLLEN,SB,g__Zygosaccharomyces
ASV_884,FOODSBBP3,167,0,BP,FOOD,SB,o__Saccharomycetales
ASV_855,FOODSBSC2,48,0,SC,FOOD,SB,g__Starmerella
ASV_9,GUARDSBSC2,24,1,SC,GUARD,SB,g__Cladosporium
ASV_884,FORAGERSBSC1,63,0,SC,FORAGER,SB,o__Saccharomycetales
ASV_98,LARVAE1SBBP4,0,0,BP,LARVAE,SB,g__Metschnikowia
ASV_855,HONEYSDBG1,211,0,BG,HONEY,SD,g__Starmerella
ASV_34,NURSESBBP3,0,0,BP,NURSE,SB,f__Acrospermaceae
ASV_9,FORAGERSBSC1,1253,1,SC,FORAGER,SB,g__Cladosporium
ASV_712,FOODSBSC2,0,0,SC,FOOD,SB,g__Wickerhamiella
ASV_64,FORAGERSBBP3,0,0,BP,FORAGER,SB,g__Cutaneotrichosporon
ASV_64,FORAGERSBSC1,0,0,SC,FORAGER,SB,g__Cutaneotrichosporon
ASV_34,FOODSDSC2,0,0,SC,FOOD,SD,f__Acrospermaceae
ASV_686,HONEYSDBG1,49,0,BG,HONEY,SD,g__Debaryomyces
ASV_95,NURSESBSC2,0,0,SC,NURSE,SB,g__Zygosaccharomyces
ASV_34,LARVAESBBP2,0,0,BP,LARVAE,SB,f__Acrospermaceae
ASV_898,FOODSDSC1,0,0,SC,FOOD,SD,g__Papiliotrema
ASV_892,LARVAESBSC1,0,0,SC,LARVAE,SB,k__Fungi
ASV_40,FOODSDBP1,0,0,BP,FOOD,SD,g__Plenodomus
ASV_855,NURSESDBG2,0,0,BG,NURSE,SD,g__Starmerella
ASV_40,FORAGERSBBP3,0,0,BP,FORAGER,SB,g__Plenodomus
ASV_91,FORAGERSBBP3,0,0,BP,FORAGER,SB,g__Candida
ASV_91,LARVAESBBG2,0,0,BG,LARVAE,SB,g__Candida
ASV_78,HONEYSBBP4,2056,0,BP,HONEY,SB,g__Diutina
ASV_712,POLLENSDSC2,59,0,SC,POLLEN,SD,g__Wickerhamiella
ASV_98,POLLENSDBG1,8330,0,BG,POLLEN,SD,g__Metschnikowia
ASV_855,LARVAE2SBBP3,0,0,BP,LARVAE,SB,g__Starmerella
ASV_9,HONEYSBBP3,136,1,BP,HONEY,SB,g__Cladosporium
ASV_859,POLLENSDSC2,0,0,SC,POLLEN,SD,g__Hannaella
ASV_908,LARVAESBBG2,8126,1,BG,LARVAE,SB,f__Saccharomycetaceae
ASV_898,HONEYSBSC1,25,0,SC,HONEY,SB,g__Papiliotrema
ASV_9,FOODSBBG2,2,1,BG,FOOD,SB,g__Cladosporium
ASV_40,GUARDSDBG1,0,0,BG,GUARD,SD,g__Plenodomus
ASV_40,FORAGERSBSC1,0,0,SC,FORAGER,SB,g__Plenodomus
ASV_712,NURSESBBP4,25,0,BP,NURSE,SB,g__Wickerhamiella
ASV_892,LARVAESBBG2,643,0,BG,LARVAE,SB,k__Fungi
ASV_898,POLLENSDBP1,7,0,BP,POLLEN,SD,g__Papiliotrema
ASV_78,POLLENSDBG1,0,0,BG,POLLEN,SD,g__Diutina
ASV_92,POLLENSDBG2,386,0,BG,POLLEN,SD,p__Ascomycota
ASV_91,POLLENSDBG2,26,0,BG,POLLEN,SD,g__Candida
ASV_78,FORAGERSDSC2,0,0,SC,FORAGER,SD,g__Diutina
ASV_859,NURSESDBG2,0,0,BG,NURSE,SD,g__Hannaella
ASV_34,FOODSBBG2,0,0,BG,FOOD,SB,f__Acrospermaceae
ASV_892,HONEYSBBP3,50,0,BP,HONEY,SB,k__Fungi
ASV_859,LARVAESBBP2,0,0,BP,LARVAE,SB,g__Hannaella
ASV_908,HONEYSDSC1,157,0,SC,HONEY,SD,f__Saccharomycetaceae
ASV_98,FORAGERSBSC1,567,1,SC,FORAGER,SB,g__Metschnikowia
ASV_686,FOODSDBP1,0,0,BP,FOOD,SD,g__Debaryomyces
ASV_9,POLLENSDBG1,216,1,BG,POLLEN,SD,g__Cladosporium
ASV_884,POLLENSDBG2,0,0,BG,POLLEN,SD,o__Saccharomycetales
ASV_859,FOODSDBP2,6,0,BP,FOOD,SD,g__Hannaella
ASV_892,HONEYSDSC1,181,0,SC,HONEY,SD,k__Fungi
ASV_898,LARVAE2SBBP4,0,0,BP,LARVAE,SB,g__Papiliotrema
ASV_855,LARVAE2SBBP4,0,0,BP,LARVAE,SB,g__Starmerella
ASV_34,POLLENSDBG2,70,1,BG,POLLEN,SD,f__Acrospermaceae
ASV_884,LARVAESBBP1,898,1,BP,LARVAE,SB,o__Saccharomycetales
ASV_40,GUARDSDSC2,0,0,SC,GUARD,SD,g__Plenodomus
ASV_98,FORAGERSBBP4,0,0,BP,FORAGER,SB,g__Metschnikowia
ASV_884,LARVAE2SBBP3,853,0,BP,LARVAE,SB,o__Saccharomycetales
ASV_92,LARVAE2SBBP4,0,0,BP,LARVAE,SB,p__Ascomycota
ASV_892,FOODSBSC2,0,0,SC,FOOD,SB,k__Fungi
ASV_908,GUARDSBBP3,2889,0,BP,GUARD,SB,f__Saccharomycetaceae
ASV_98,HONEYSDBP1,1276,0,BP,HONEY,SD,g__Metschnikowia
ASV_9,FOODSBSC1,325,1,SC,FOOD,SB,g__Cladosporium
ASV_855,FORAGERSBBP3,221,0,BP,FORAGER,SB,g__Starmerella
ASV_95,POLLENSDBP1,0,0,BP,POLLEN,SD,g__Zygosaccharomyces
ASV_884,FOODSDBP1,49,0,BP,FOOD,SD,o__Saccharomycetales
ASV_95,NURSESBBP3,0,0,BP,NURSE,SB,g__Zygosaccharomyces
ASV_95,LARVAESBBG2,0,0,BG,LARVAE,SB,g__Zygosaccharomyces
ASV_892,LARVAE1SBBP4,0,0,BP,LARVAE,SB,k__Fungi
ASV_64,LARVAESBBG2,0,0,BG,LARVAE,SB,g__Cutaneotrichosporon
ASV_98,GUARDSDBG1,8379,0,BG,GUARD,SD,g__Metschnikowia
ASV_34,NURSESBSC1,0,0,SC,NURSE,SB,f__Acrospermaceae
ASV_91,POLLENSBBP3,0,0,BP,POLLEN,SB,g__Candida
ASV_859,LARVAE1SBBP4,0,0,BP,LARVAE,SB,g__Hannaella
ASV_859,NURSESBSC1,0,0,SC,NURSE,SB,g__Hannaella
ASV_884,FOODSBSC1,1620,0,SC,FOOD,SB,o__Saccharomycetales
ASV_78,LARVAESBSC2,0,0,SC,LARVAE,SB,g__Diutina
ASV_98,GUARDSBSC2,136,0,SC,GUARD,SB,g__Metschnikowia
ASV_34,FOODSDBP1,0,0,BP,FOOD,SD,f__Acrospermaceae
ASV_78,POLLENSBBP2,0,0,BP,POLLEN,SB,g__Diutina
ASV_686,HONEYSBBP4,55,0,BP,HONEY,SB,g__Debaryomyces
ASV_855,LARVAESBSC1,12,0,SC,LARVAE,SB,g__Starmerella
ASV_712,GUARDSBBP3,36,0,BP,GUARD,SB,g__Wickerhamiella
ASV_64,LARVAE3SBBP4,0,0,BP,LARVAE,SB,g__Cutaneotrichosporon
ASV_908,LARVAESBBP2,17900,0,BP,LARVAE,SB,f__Saccharomycetaceae
ASV_64,POLLENSDBG2,0,0,BG,POLLEN,SD,g__Cutaneotrichosporon
ASV_712,POLLENSDBP1,1590,0,BP,POLLEN,SD,g__Wickerhamiella
ASV_78,POLLENSDSC2,0,0,SC,POLLEN,SD,g__Diutina
ASV_712,NURSESBSC2,0,0,SC,NURSE,SB,g__Wickerhamiella
ASV_64,NURSESBBG1,0,0,BG,NURSE,SB,g__Cutaneotrichosporon
ASV_34,NURSESDSC2,0,0,SC,NURSE,SD,f__Acrospermaceae
ASV_892,GUARDSBSC2,98,0,SC,GUARD,SB,k__Fungi
ASV_34,HONEYSBBP3,47,1,BP,HONEY,SB,f__Acrospermaceae
ASV_9,LARVAE3SBBP4,3,1,BP,LARVAE,SB,g__Cladosporium
ASV_712,LARVAESBSC1,140,0,SC,LARVAE,SB,g__Wickerhamiella
ASV_855,FORAGERSBBP4,222,0,BP,FORAGER,SB,g__Starmerella
ASV_91,FOODSBSC2,0,0,SC,FOOD,SB,g__Candida
ASV_908,FORAGERSBBP4,2612,0,BP,FORAGER,SB,f__Saccharomycetaceae
ASV_712,FOODSDBP2,30,0,BP,FOOD,SD,g__Wickerhamiella
ASV_91,FORAGERSDBG1,154,1,BG,FORAGER,SD,g__Candida
ASV_686,POLLENSDBG2,52,0,BG,POLLEN,SD,g__Debaryomyces
ASV_908,LARVAE3SBBP4,12633,0,BP,LARVAE,SB,f__Saccharomycetaceae
ASV_898,LARVAESBBP2,0,0,BP,LARVAE,SB,g__Papiliotrema
ASV_78,FOODSBSC1,99,0,SC,FOOD,SB,g__Diutina
ASV_64,LARVAE2SBBP4,0,0,BP,LARVAE,SB,g__Cutaneotrichosporon
ASV_855,LARVAESBSC2,0,0,SC,LARVAE,SB,g__Starmerella
ASV_859,HONEYSDBP1,130,0,BP,HONEY,SD,g__Hannaella
ASV_884,NURSESDBG2,0,0,BG,NURSE,SD,o__Saccharomycetales
ASV_92,HONEYSDBG1,106,0,BG,HONEY,SD,p__Ascomycota
ASV_78,LARVAE2SBBP4,0,0,BP,LARVAE,SB,g__Diutina
ASV_908,NURSESDSC2,310,0,SC,NURSE,SD,f__Saccharomycetaceae
ASV_908,POLLENSBBP3,0,0,BP,POLLEN,SB,f__Saccharomycetaceae
ASV_98,FOODSDBP2,758,0,BP,FOOD,SD,g__Metschnikowia
ASV_9,LARVAESBBG2,0,0,BG,LARVAE,SB,g__Cladosporium
ASV_855,HONEYSDBP1,208,0,BP,HONEY,SD,g__Starmerella
ASV_712,HONEYSBBP4,470,0,BP,HONEY,SB,g__Wickerhamiella
ASV_892,HONEYSDBP3,101,0,BP,HONEY,SD,k__Fungi
ASV_98,NURSESDSC2,18,0,SC,NURSE,SD,g__Metschnikowia
ASV_95,GUARDSBSC2,0,0,SC,GUARD,SB,g__Zygosaccharomyces
ASV_91,FOODSBBP3,0,0,BP,FOOD,SB,g__Candida
ASV_95,HONEYSDBG1,0,0,BG,HONEY,SD,g__Zygosaccharomyces
ASV_686,GUARDSDBG1,414,0,BG,GUARD,SD,g__Debaryomyces
ASV_92,LARVAE3SBBP4,29,0,BP,LARVAE,SB,p__Ascomycota
ASV_686,FOODSBSC2,0,0,SC,FOOD,SB,g__Debaryomyces
ASV_9,NURSESDSC2,75,1,SC,NURSE,SD,g__Cladosporium
ASV_64,LARVAE1SBBP4,0,0,BP,LARVAE,SB,g__Cutaneotrichosporon
ASV_91,FORAGERSBSC1,0,0,SC,FORAGER,SB,g__Candida
ASV_859,FOODSBBP4,3,0,BP,FOOD,SB,g__Hannaella
ASV_9,NURSESBBP3,103,1,BP,NURSE,SB,g__Cladosporium
ASV_9,GUARDSDSC2,15,1,SC,GUARD,SD,g__Cladosporium
ASV_40,POLLENSDSC1,0,0,SC,POLLEN,SD,g__Plenodomus
ASV_95,POLLENSBBP2,0,0,BP,POLLEN,SB,g__Zygosaccharomyces
ASV_98,LARVAE2SBBP3,0,0,BP,LARVAE,SB,g__Metschnikowia
ASV_892,FOODSBBP4,38,0,BP,FOOD,SB,k__Fungi
ASV_9,GUARDSBBP3,42,1,BP,GUARD,SB,g__Cladosporium
ASV_78,FOODSDSC2,8,0,SC,FOOD,SD,g__Diutina
