sample,local,type,species
FOODSBBG2,BG,FOOD,SB
FOODSBBP3,BP,FOOD,SB
FOODSBBP4,BP,FOOD,SB
FOODSBSC1,SC,FOOD,SB
FOODSBSC2,SC,FOOD,SB
FOODSDBP1,BP,FOOD,SD
FOODSDBP2,BP,FOOD,SD
FOODSDSC1,SC,FOOD,SD
FOODSDSC2,SC,FOOD,SD
FORAGERSBBP3,BP,FORAGER,SB
FORAGERSBBP4,BP,FORAGER,SB
FORAGERSBSC1,SC,FORAGER,SB
FORAGERSDBG1,BG,FORAGER,SD
FORAGERSDSC2,SC,FORAGER,SD
GUARDSBBP3,BP,GUARD,SB
GUARDSBSC2,SC,GUARD,SB
GUARDSDBG1,BG,GUARD,SD
GUARDSDSC2,SC,GUARD,SD
HONEYSBBP3,BP,HONEY,SB
HONEYSBBP4,BP,HONEY,SB
HONEYSBSC1,SC,HONEY,SB
HONEYSDBG1,BG,HONEY,SD
HONEYSDBP1,BP,HONEY,SD
HONEYSDBP3,BP,HONEY,SD
HONEYSDSC1,SC,HONEY,SD
LARVAE1SBBP4,BP,LARVAE,SB
LARVAE1SDBP4,BP,LARVAE,SD
LARVAE2SBBP3,BP,LARVAE,SB
LARVAE2SBBP4,BP,LARVAE,SB
LARVAE3SBBP4,BP,LARVAE,SB
LARVAESBBG2,BG,LARVAE,SB
LARVAESBBP1,BP,LARVAE,SB
LARVAESBBP2,BP,LARVAE,SB
LARVAESBSC1,SC,LARVAE,SB
LARVAESBSC2,SC,LARVAE,SB
NURSESBBG1,BG,NURSE,SB
NURSESBBP3,BP,NURSE,SB
NURSESBBP4,BP,NURSE,SB
NURSESBSC1,SC,NURSE,SB
NURSESBSC2,SC,NURSE,SB
NURSESDBG2,BG,NURSE,SD
NURSESDSC2,SC,NURSE,SD
POLLENSBBP2,BP,POLLEN,SB
POLLENSBBP3,BP,POLLEN,SB
POLLENSDBG1,BG,POLLEN,SD
POLLENSDBG2,BG,POLLEN,SD
POLLENSDBP1,BP,POLLEN,SD
POLLENSDBP2,BP,POLLEN,SD
POLLENSDSC1,SC,POLLEN,SD
POLLENSDSC2,SC,POLLEN,SD
