cov_RPM,BRITE,sample,type,species
13067.01,ABC_transporters,SBBP1_FOOD_allbrites,FOOD,SB
12287.6,ABC_transporters,SBBP2_FOOD_allbrites,FOOD,SB
15008.52,ABC_transporters,SDBP3_FOOD_allbrites,FOOD,SD
10764.46,ABC_transporters,SDBP4_FOOD_allbrites,FOOD,SD
0,Acarbose_and_validamycin_biosynthesis,SBBP1_FOOD_allbrites,FOOD,SB
0,Acarbose_and_validamycin_biosynthesis,SBBP2_FOOD_allbrites,FOOD,SB
0,Acarbose_and_validamycin_biosynthesis,SDBP3_FOOD_allbrites,FOOD,SD
0,Acarbose_and_validamycin_biosynthesis,SDBP4_FOOD_allbrites,FOOD,SD
70.91,Adherens_junction,SBBP1_FOOD_allbrites,FOOD,SB
43.21,Adherens_junction,SBBP2_FOOD_allbrites,FOOD,SB
314.67,Adherens_junction,SDBP3_FOOD_allbrites,FOOD,SD
159.78,Adherens_junction,SDBP4_FOOD_allbrites,FOOD,SD
17,Adipocytokine_signaling_pathway,SBBP1_FOOD_allbrites,FOOD,SB
36.19,Adipocytokine_signaling_pathway,SBBP2_FOOD_allbrites,FOOD,SB
8.3,Adipocytokine_signaling_pathway,SDBP3_FOOD_allbrites,FOOD,SD
0,Adipocytokine_signaling_pathway,SDBP4_FOOD_allbrites,FOOD,SD
0,Adrenergic_signaling_in_cardiomyocytes,SBBP1_FOOD_allbrites,FOOD,SB
0,Adrenergic_signaling_in_cardiomyocytes,SBBP2_FOOD_allbrites,FOOD,SB
0,Adrenergic_signaling_in_cardiomyocytes,SDBP3_FOOD_allbrites,FOOD,SD
0,Adrenergic_signaling_in_cardiomyocytes,SDBP4_FOOD_allbrites,FOOD,SD
0,African_trypanosomiasis,SBBP1_FOOD_allbrites,FOOD,SB
0,African_trypanosomiasis,SBBP2_FOOD_allbrites,FOOD,SB
0,African_trypanosomiasis,SDBP3_FOOD_allbrites,FOOD,SD
0,African_trypanosomiasis,SDBP4_FOOD_allbrites,FOOD,SD
0,AGE-RAGE_signaling_pathway_in_diabetic_complications,SBBP1_FOOD_allbrites,FOOD,SB
0,AGE-RAGE_signaling_pathway_in_diabetic_complications,SBBP2_FOOD_allbrites,FOOD,SB
0,AGE-RAGE_signaling_pathway_in_diabetic_complications,SDBP3_FOOD_allbrites,FOOD,SD
0,AGE-RAGE_signaling_pathway_in_diabetic_complications,SDBP4_FOOD_allbrites,FOOD,SD
2241.86,Aging,SBBP1_FOOD_allbrites,FOOD,SB
1417.9,Aging,SBBP2_FOOD_allbrites,FOOD,SB
2207.93,Aging,SDBP3_FOOD_allbrites,FOOD,SD
1777.36,Aging,SDBP4_FOOD_allbrites,FOOD,SD
4930.42,"Alanine,_aspartate_and_glutamate_metabolism",SBBP1_FOOD_allbrites,FOOD,SB
5085.3,"Alanine,_aspartate_and_glutamate_metabolism",SBBP2_FOOD_allbrites,FOOD,SB
4873.68,"Alanine,_aspartate_and_glutamate_metabolism",SDBP3_FOOD_allbrites,FOOD,SD
4119.44,"Alanine,_aspartate_and_glutamate_metabolism",SDBP4_FOOD_allbrites,FOOD,SD
14.22,Alcoholic_liver_disease,SBBP1_FOOD_allbrites,FOOD,SB
23.07,Alcoholic_liver_disease,SBBP2_FOOD_allbrites,FOOD,SB
14.56,Alcoholic_liver_disease,SDBP3_FOOD_allbrites,FOOD,SD
0,Alcoholic_liver_disease,SDBP4_FOOD_allbrites,FOOD,SD
0,Alcoholism,SBBP1_FOOD_allbrites,FOOD,SB
0,Alcoholism,SBBP2_FOOD_allbrites,FOOD,SB
0,Alcoholism,SDBP3_FOOD_allbrites,FOOD,SD
0,Alcoholism,SDBP4_FOOD_allbrites,FOOD,SD
0,alpha-Linolenic_acid_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
0,alpha-Linolenic_acid_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
12.32,alpha-Linolenic_acid_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
53.04,alpha-Linolenic_acid_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
367.02,Alzheimer_disease,SBBP1_FOOD_allbrites,FOOD,SB
317.58,Alzheimer_disease,SBBP2_FOOD_allbrites,FOOD,SB
886.72,Alzheimer_disease,SDBP3_FOOD_allbrites,FOOD,SD
1021.4,Alzheimer_disease,SDBP4_FOOD_allbrites,FOOD,SD
22822.89,Amino_acid_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
22435.99,Amino_acid_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
24234.33,Amino_acid_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
21929.19,Amino_acid_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
13558.97,Amino_acid_related_enzymes,SBBP1_FOOD_allbrites,FOOD,SB
12371.63,Amino_acid_related_enzymes,SBBP2_FOOD_allbrites,FOOD,SB
14260.48,Amino_acid_related_enzymes,SDBP3_FOOD_allbrites,FOOD,SD
12260.18,Amino_acid_related_enzymes,SDBP4_FOOD_allbrites,FOOD,SD
7641.85,Amino_sugar_and_nucleotide_sugar_metabolism,SBBP1_FOOD_allbrites,FOOD,SB
9190.77,Amino_sugar_and_nucleotide_sugar_metabolism,SBBP2_FOOD_allbrites,FOOD,SB
10146.84,Amino_sugar_and_nucleotide_sugar_metabolism,SDBP3_FOOD_allbrites,FOOD,SD
8853.06,Amino_sugar_and_nucleotide_sugar_metabolism,SDBP4_FOOD_allbrites,FOOD,SD
13857.69,Aminoacyl-tRNA_biosynthesis,SBBP1_FOOD_allbrites,FOOD,SB
12675.25,Aminoacyl-tRNA_biosynthesis,SBBP2_FOOD_allbrites,FOOD,SB
14556.88,Aminoacyl-tRNA_biosynthesis,SDBP3_FOOD_allbrites,FOOD,SD
11531.28,Aminoacyl-tRNA_biosynthesis,SDBP4_FOOD_allbrites,FOOD,SD
1175.78,Aminobenzoate_degradation,SBBP1_FOOD_allbrites,FOOD,SB
