bin_taxa,bin,length,cov,150,cov_meanok,sample,type,proportions,prop_final
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,520,78000,0.049613239,SBBP1_FOOD,FOOD,0.119258822,0.180425248
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,12214,1832100,1.165338664,SBBP1_FORAGER,FORAGER,11.78668557,4.237911508
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,170792,25618800,16.29527765,SBBP1_GUARD,GUARD,50.28828711,59.2599789
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,1642,246300,0.156663344,SBBP1_HONEY,HONEY,0.020814506,0.569727419
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,0,0,0,SBBP1_LARVAE,LARVAE,0,0
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,4864,729600,0.464074608,SBBP1_NURSE,NURSE,7.465541258,1.687670016
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,434,65100,0.041407973,SBBP1_POLLEN,POLLEN,0.086072585,0.150585688
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,468,70200,0.044651915,SBBP2_FOOD,FOOD,0.176178827,0.162382724
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,28552,4282800,2.724148481,SBBP2_FORAGER,FORAGER,9.899343196,9.906734025
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,7902,1185300,0.753930418,SBBP2_GUARD,GUARD,2.776144918,2.741769833
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,1150,172500,0.109721587,SBBP2_HONEY,HONEY,0.01412841,0.399017376
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,0,0,0,SBBP2_LARVAE,LARVAE,0,0
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,5838,875700,0.557004022,SBBP2_NURSE,NURSE,9.971684043,2.025620385
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,930,139500,0.08873137,SBBP4_POLLEN,POLLEN,0.759475029,0.322683617
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,1672,250800,0.159525647,SDBP2_HONEY,HONEY,0.022150686,0.580136568
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,422,63300,0.040263052,SDBP3_FOOD,FOOD,0.110163044,0.146422029
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,6438,965700,0.614250067,SDBP3_FORAGER,FORAGER,6.242817525,2.233803364
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,6690,1003500,0.638293406,SDBP3_GUARD,GUARD,4.840124761,2.321240215
Bombilactobacillus sp.2,bins_SBBP1_GUARD.5.fa,1572161,0,0,0,SDBP3_LARVAE,LARVAE,0,0
